tweet,tweet_clean,sentimen,tweet_clean_prep
"Kata @prabowo Indonesia tidak dihargai bangsa asing!   Berita ini ðŸ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðŸ˜œ https://twitter.com/mediaindonesia/status/1117575436337160192?s=21Â â€¦",indonesia tidak dihargai bangsa asing berita isu bohong buatan penguasa iya,negatif,indonesia tidak harga bangsa asing berita isu bohong buat kuasa iya
"Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  http://dlvr.it/R2pvZVÂ ",batuan langka tasbih jokowi hadiah habib luthfi seharga mercy,netral,batu langka tasbih jokowi hadiah habib luthfi harga mercy
"Di era Jokowi, ekonomi Indonesia semakin baik. #01IndonesiaMaju #JokowiLagi #JokowiMenangTotalDebat pic.twitter.com/W2ythnxsTp",era jokowi ekonomi indonesia indonesiamaju,netral,era jokowi ekonomi indonesia indonesiamaju
"Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!",sumatera selatan asian games berdampak ekonomi diprediksi mencapai triliun indonesia maju jokowi hebat,positif,sumatera selatan asi games dampak ekonomi prediksi capai triliun indonesia maju jokowi hebat
"Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak",negara berhutang bangun infrastruktur dipake masyarakat masyarakatnya ngeluh negara berhutang negara berhutang utang dibayar negara penghasilan penghasilan negara iya pajak,negatif,negara hutang bangun infrastruktur dipake masyarakat masyarakat ngeluh negara hutang negara hutang utang bayar negara hasil hasil negara iya pajak
"Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. E-Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi",bisikin jokowi mikirin perputaran duit golongan sports penentu pertumbuhan perekonomian indonesia fundamental prabowo bhs sederhana mrpkan aspek fundamental ekonomi,netral,bisikin jokowi mikirin putar duit golong sports tentu tumbuh ekonomi indonesia fundamental prabowo bhs sederhana mrpkan aspek fundamental ekonomi
Masa tenang msih ngoceh aja..ttp jokowi harga mati...,tenang msih ngoceh ttp jokowi harga mati,positif,tenang msih ngoceh ttp jokowi harga mati
"#UASdifitnahKejiBalasDiTPS   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  #UASdifitnahKejiBalasDiTPS",kerjasa ekonomi bilateral multilateral doakan pemungutan suara dengarkan suara hati,positif,kerjasa ekonomi bilateral multilateral doa pungut suara dengar suara hati
"Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi ðŸ˜‚ & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & JumatanðŸ™ðŸ‘",iya mantap pilihan pemimpin solusi menyalahkan pemimpin dismash mas bowo koalisi klau mengantam tmn koalisi pilih pemimpin rajin ibadah wajib ngaji jumatan,netral,iya mantap pilih pimpin solusi salah pimpin dismash mas bowo koalisi klau mengantam tmn koalisi pilih pimpin rajin ibadah wajib ngaji jumat
Prabowo-Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah  https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterÂ â€¦ .. ... #GoAceh,prabowo sandi sepakat tidak ambil gaji negara susah,negatif,prabowo sandi sepakat tidak ambil gaji negara susah
"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   https://bit.ly/2OgymxtÂ ",pilih pemimpin udh pencapaiannya pencapaian ekonomi pemerintahan jokowi coblos yuk kerja,positif,pilih pimpin udh capai capai ekonomi perintah jokowi coblos yuk kerja
"Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. #2019JokowiKyaiMaruf pic.twitter.com/Nj2hhmiIzv",calon presiden jokowi program kartu pra kerja insentif kurun gaji masyarakat berpenghasilan jokowikyaimaruf,positif,calon presiden jokowi program kartu pra kerja insentif kurun gaji masyarakat berpenghasilan jokowikyaimaruf
"Gak nginti Lu to @yunartowijaya, dan si @AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.",tidak nginti tidak ngacaaa tidak ngajarin sandi ekonomi dibanding jokowi,negatif,tidak nginti tidak ngacaaa tidak ngajarin sandi ekonomi banding jokowi
"Menurut Jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. #2019JokowiKyaiMaruf #RakyatInginJokowiMenang  https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1 pic.twitter.com/YZpyj7IhSoÂ ",jokowi pemerintah berupaya menjaga keseimbangan harga posisi normal petani produsen senang hasil kerjanya dihargai layak jokowikyaimaruf,positif,jokowi perintah upaya jaga imbang harga posisi normal tani produsen senang hasil kerja harga layak jokowikyaimaruf
"Terlalu berat nge bahas ekonomi dgn angka2.. Cukup bahas mobil lejen aj,",nge bahas ekonomi angka bahas mobil lejen,netral,nge bahas ekonomi angka bahas mobil lejen
"mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...ðŸ‘ðŸ‘ðŸ‘",mantulz mengisi tenang umroh kelurahan tercinta istri anak ahirnya keluarga asset berharga sehat pakdeee,netral,mantulz isi tenang umroh lurah cinta istri anak ahirnya keluarga asset harga sehat pakdeee
#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti !  pic.twitter.com/4VPqiGzAcq,sisi industri kreatif inovatif era industri global jokowi tergerak mengubah badan ekonomi kreatif bekraf kementerian coblos yuk kerja,positif,sisi industri kreatif inovatif era industri global jokowi gerak ubah badan ekonomi kreatif bekraf menteri coblos yuk kerja
